region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,init_roughness_um,init_scratch_um,init_ra_um,init_rz_um,init_clearcoat_um,init_gu_proxy,surface_seed,init_scratch_count
R1,bonnet,17,2.300,0.000,1.020,-0.1000,0.0000,0.9950,0.1725,0.352,0.1334,1.0335,40.24,56.54,7118,3
R1,bonnet,18,2.300,0.240,1.020,-0.1000,0.0000,0.9950,0.1900,0.802,0.1354,1.2323,44.87,64.45,7119,4
R1,bonnet,19,2.300,0.480,1.020,-0.1000,0.0000,0.9950,0.1598,0.463,0.1124,1.0263,46.01,62.48,7120,2
R1,bonnet,20,2.500,-0.480,1.040,-0.1000,0.0000,0.9950,0.1353,0.338,0.1052,0.7931,41.88,73.21,7121,1
R1,bonnet,21,2.500,-0.240,1.040,-0.1000,0.0000,0.9950,0.1602,0.320,0.1271,0.9111,45.46,66.25,7122,2
R1,bonnet,22,2.500,0.000,1.040,-0.1000,0.0000,0.9950,0.1509,0.231,0.1214,0.8325,48.14,69.14,7123,1
R1,bonnet,23,2.500,0.240,1.040,-0.1000,0.0000,0.9950,0.1477,0.333,0.1074,0.9108,40.68,61.22,7124,3
R1,bonnet,24,2.500,0.480,1.040,-0.1000,0.0000,0.9950,0.1431,0.351,0.1157,0.8146,43.21,60.97,7125,3
R2,roof,0,-0.080,-0.440,1.450,0.0000,0.0000,1.0000,0.1683,0.777,0.1258,1.1763,42.80,70.99,7202,2
R2,roof,1,-0.080,-0.220,1.450,0.0000,0.0000,1.0000,0.1594,0.447,0.1214,0.9118,42.32,65.32,7203,3
R2,roof,2,-0.080,0.000,1.450,0.0000,0.0000,1.0000,0.1863,0.832,0.1292,1.2808,43.19,62.12,7204,3
R2,roof,3,-0.080,0.220,1.450,0.0000,0.0000,1.0000,0.1625,0.481,0.1145,1.1306,48.20,66.30,7205,3
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,0.1577,0.343,0.1225,0.9211,47.45,61.06,7206,3
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,0.1309,0.360,0.0956,0.8091,47.17,68.31,7207,2
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,0.1922,0.484,0.1453,1.1520,44.09,65.09,7208,2
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,0.1114,0.095,0.0905,0.6198,42.17,65.50,7209,3
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,0.1360,0.157,0.1086,0.7512,49.14,71.88,7210,1
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,0.1523,0.240,0.1196,0.8506,46.68,70.65,7211,1
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,0.1375,0.158,0.1098,0.7479,47.58,72.80,7212,1
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,0.1550,0.983,0.0930,1.1481,47.81,67.03,7213,3
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,0.1703,0.201,0.1313,1.0894,41.20,66.69,7214,1
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,0.1651,0.083,0.1295,0.9133,45.68,62.55,7215,3
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,0.1627,0.373,0.1269,0.9606,41.68,70.62,7216,3
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,0.1287,0.174,0.0987,0.7284,47.19,61.63,7217,3
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,0.1692,0.195,0.1336,1.0525,47.39,67.22,7218,2
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,0.1541,0.310,0.1290,0.9266,41.61,67.62,7219,2
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,0.1554,0.180,0.1251,0.8240,44.99,61.91,7220,2
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,0.1555,0.143,0.1267,0.9393,43.56,62.80,7221,3
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,0.1751,0.606,0.1224,1.1450,47.72,58.88,7222,4
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,0.1500,0.298,0.1209,0.8472,48.95,72.91,7223,1
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,0.1619,0.464,0.1204,0.9732,44.16,69.53,7224,1
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,0.1432,0.272,0.1138,0.8029,45.88,73.00,7225,1
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,0.1498,0.309,0.1244,0.8384,45.32,71.94,7226,2
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,0.1419,0.057,0.1118,0.7979,49.76,74.08,7303,1
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,0.1279,0.216,0.1014,0.7734,48.65,69.61,7304,1
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,0.1479,0.246,0.1133,0.8282,42.95,63.57,7305,2
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,0.1362,0.112,0.1113,0.7543,49.46,55.95,7306,3
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,0.1825,0.559,0.1395,1.1465,40.25,62.64,7307,2
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,0.1803,0.958,0.1281,1.2513,49.92,66.36,7308,2
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,0.1970,0.470,0.1505,1.1458,46.22,61.29,7309,2
R3,door_left,7,0.260,0.850,0.775,0.0000,1.0000,0.0000,0.1630,0.248,0.1284,0.9145,45.58,63.24,7310,3
R3,door_left,8,0.260,0.850,0.865,0.0000,1.0000,0.0000,0.1602,0.282,0.1243,0.9571,47.85,69.94,7311,1
R3,door_left,9,0.260,0.850,0.955,0.0000,1.0000,0.0000,0.1781,0.969,0.1221,1.3682,48.76,65.22,7312,2
R3,door_left,10,0.500,0.850,0.595,0.0000,1.0000,0.0000,0.1744,0.316,0.1360,1.0159,49.99,68.45,7313,1
R3,door_left,11,0.500,0.850,0.685,0.0000,1.0000,0.0000,0.1353,0.390,0.0980,0.8767,41.08,71.46,7314,1
R3,door_left,12,0.500,0.850,0.775,0.0000,1.0000,0.0000,0.1423,0.450,0.0950,0.9182,41.71,58.96,7315,3
R3,door_left,13,0.500,0.850,0.865,0.0000,1.0000,0.0000,0.1778,0.399,0.1383,1.0535,47.42,61.93,7316,3
R3,door_left,14,0.500,0.850,0.955,0.0000,1.0000,0.0000,0.1435,0.244,0.1140,0.8454,44.17,75.70,7317,1
R3,door_left,15,0.740,0.850,0.595,0.0000,1.0000,0.0000,0.1914,0.755,0.1377,1.3086,44.97,60.26,7318,4
R3,door_left,16,0.740,0.850,0.685,0.0000,1.0000,0.0000,0.1854,0.054,0.1483,0.9868,47.08,62.45,7319,3
R3,door_left,17,0.740,0.850,0.775,0.0000,1.0000,0.0000,0.1563,0.226,0.1254,0.8999,41.90,66.60,7320,2
R3,door_left,18,0.740,0.850,0.865,0.0000,1.0000,0.0000,0.1709,0.429,0.1260,0.9983,44.59,61.77,7321,3
R3,door_left,19,0.740,0.850,0.955,0.0000,1.0000,0.0000,0.1943,0.230,0.1555,1.0619,48.85,61.75,7322,2
R3,door_left,20,0.980,0.850,0.595,0.0000,1.0000,0.0000,0.2100,0.921,0.1124,1.4905,45.26,62.01,7323,4
R3,door_left,21,0.980,0.850,0.685,0.0000,1.0000,0.0000,0.1800,0.386,0.1401,1.0543,43.83,60.80,7324,3
R3,door_left,22,0.980,0.850,0.775,0.0000,1.0000,0.0000,0.1398,0.417,0.1073,0.8201,43.15,65.14,7325,2
R3,door_left,23,0.980,0.850,0.865,0.0000,1.0000,0.0000,0.1589,0.370,0.1224,0.9998,48.82,67.39,7326,1
R3,door_left,24,0.980,0.850,0.955,0.0000,1.0000,0.0000,0.1790,0.482,0.1305,1.0928,44.02,66.65,7327,3
R4,door_right,0,0.020,-0.850,0.595,0.0000,-1.0000,0.0000,0.1989,0.824,0.1135,1.4200,49.00,60.27,7404,4
R4,door_right,1,0.020,-0.850,0.685,0.0000,-1.0000,0.0000,0.1458,0.141,0.1179,0.7963,47.41,69.13,7405,2
R4,door_right,2,0.020,-0.850,0.775,0.0000,-1.0000,0.0000,0.1463,0.085,0.1246,0.8575,47.83,70.07,7406,1
R4,door_right,3,0.020,-0.850,0.865,0.0000,-1.0000,0.0000,0.1620,0.182,0.1280,0.9082,44.12,58.68,7407,2
R4,door_right,4,0.020,-0.850,0.955,0.0000,-1.0000,0.0000,0.1563,0.125,0.1237,0.8926,42.86,61.89,7408,2
R4,door_right,5,0.260,-0.850,0.595,0.0000,-1.0000,0.0000,0.1485,0.221,0.1173,0.8681,47.77,61.49,7409,2
R4,door_right,6,0.260,-0.850,0.685,0.0000,-1.0000,0.0000,0.1378,0.218,0.1071,0.8151,40.94,66.21,7410,3
R4,door_right,7,0.260,-0.850,0.775,0.0000,-1.0000,0.0000,0.1724,0.483,0.1308,0.9774,40.94,69.75,7411,3
R4,door_right,8,0.260,-0.850,0.865,0.0000,-1.0000,0.0000,0.1387,0.346,0.1084,0.7991,48.92,69.92,7412,1
R4,door_right,9,0.260,-0.850,0.955,0.0000,-1.0000,0.0000,0.1550,0.072,0.1232,0.9390,40.30,70.20,7413,1
R4,door_right,10,0.500,-0.850,0.595,0.0000,-1.0000,0.0000,0.1364,0.319,0.1029,0.8172,43.05,63.19,7414,2
R4,door_right,11,0.500,-0.850,0.685,0.0000,-1.0000,0.0000,0.1523,0.319,0.1183,0.9345,41.54,66.14,7415,3
R4,door_right,12,0.500,-0.850,0.775,0.0000,-1.0000,0.0000,0.1706,0.424,0.1305,1.0366,46.39,62.87,7416,2
R4,door_right,13,0.500,-0.850,0.865,0.0000,-1.0000,0.0000,0.1338,0.164,0.1079,0.7448,46.18,61.31,7417,2
R4,door_right,14,0.500,-0.850,0.955,0.0000,-1.0000,0.0000,0.1425,0.192,0.1128,0.8051,40.34,66.65,7418,2
R4,door_right,15,0.740,-0.850,0.595,0.0000,-1.0000,0.0000,0.1706,0.146,0.1360,1.0478,47.20,72.97,7419,2
R4,door_right,16,0.740,-0.850,0.685,0.0000,-1.0000,0.0000,0.1616,0.062,0.1295,0.9124,49.07,59.34,7420,3
R4,door_right,17,0.740,-0.850,0.775,0.0000,-1.0000,0.0000,0.1752,0.785,0.1087,1.2891,47.61,64.70,7421,3
R4,door_right,18,0.740,-0.850,0.865,0.0000,-1.0000,0.0000,0.1764,0.181,0.1398,1.0062,44.51,64.17,7422,1
R4,door_right,19,0.740,-0.850,0.955,0.0000,-1.0000,0.0000,0.1850,0.966,0.1107,1.3753,42.32,69.30,7423,2
R4,door_right,20,0.980,-0.850,0.595,0.0000,-1.0000,0.0000,0.1938,0.966,0.1158,1.5031,46.02,64.82,7424,4
R4,door_right,21,0.980,-0.850,0.685,0.0000,-1.0000,0.0000,0.1453,0.186,0.1167,0.8715,41.25,66.26,7425,2
R4,door_right,22,0.980,-0.850,0.775,0.0000,-1.0000,0.0000,0.1369,0.415,0.1117,0.8289,44.10,73.48,7426,2
R4,door_right,23,0.980,-0.850,0.865,0.0000,-1.0000,0.0000,0.1681,0.390,0.1261,1.0972,44.96,58.29,7427,3
R4,door_right,24,0.980,-0.850,0.955,0.0000,-1.0000,0.0000,0.1915,0.090,0.1556,1.0961,46.09,70.06,7428,1
R5,fender_left,0,1.960,0.725,0.640,0.1500,0.9702,0.1900,0.1626,0.108,0.1246,0.9679,42.08,72.01,7505,2
R5,fender_left,1,1.960,0.735,0.700,0.1500,0.9702,0.1900,0.1772,0.921,0.1097,1.2576,47.31,63.37,7506,4
R5,fender_left,2,1.960,0.745,0.760,0.1500,0.9702,0.1900,0.1575,0.154,0.1287,0.9416,45.70,63.07,7507,3
R5,fender_left,3,1.960,0.755,0.820,0.1500,0.9702,0.1900,0.1623,0.698,0.1084,1.2316,44.18,65.30,7508,2
R5,fender_left,4,1.960,0.765,0.880,0.1500,0.9702,0.1900,0.1414,0.444,0.1107,0.8634,44.04,69.11,7509,3
R5,fender_left,5,2.080,0.725,0.660,0.1500,0.9702,0.1900,0.1378,0.166,0.1121,0.7359,48.27,70.41,7510,1
R5,fender_left,6,2.080,0.735,0.720,0.1500,0.9702,0.1900,0.1810,0.130,0.1431,1.0700,48.40,62.42,7511,3
R5,fender_left,7,2.080,0.745,0.780,0.1500,0.9702,0.1900,0.1899,0.748,0.1378,1.2013,40.75,64.36,7512,3
R5,fender_left,8,2.080,0.755,0.840,0.1500,0.9702,0.1900,0.1558,0.289,0.1215,0.9021,48.38,68.41,7513,1
R5,fender_left,9,2.080,0.765,0.900,0.1500,0.9702,0.1900,0.1675,0.312,0.1351,0.9322,46.99,68.46,7514,3
R5,fender_left,10,2.200,0.725,0.680,0.1500,0.9702,0.1900,0.1496,0.442,0.1071,0.8930,43.50,66.92,7515,3
R5,fender_left,11,2.200,0.735,0.740,0.1500,0.9702,0.1900,0.1731,0.645,0.1303,1.0906,48.94,66.38,7516,2
R5,fender_left,12,2.200,0.745,0.800,0.1500,0.9702,0.1900,0.1787,0.409,0.1378,1.0107,43.85,70.09,7517,1
R5,fender_left,13,2.200,0.755,0.860,0.1500,0.9702,0.1900,0.1350,0.295,0.1045,0.7859,44.94,62.62,7518,2
R5,fender_left,14,2.200,0.765,0.920,0.1500,0.9702,0.1900,0.1429,0.296,0.1089,0.8465,49.88,66.20,7519,2
R5,fender_left,15,2.320,0.725,0.700,0.1500,0.9702,0.1900,0.1617,0.314,0.1285,0.9715,47.16,70.80,7520,1
R5,fender_left,16,2.320,0.735,0.760,0.1500,0.9702,0.1900,0.1563,0.490,0.1259,0.8903,43.53,74.97,7521,1
R5,fender_left,17,2.320,0.745,0.820,0.1500,0.9702,0.1900,0.1532,0.125,0.1238,0.8233,49.36,72.27,7522,1
R5,fender_left,18,2.320,0.755,0.880,0.1500,0.9702,0.1900,0.1496,0.293,0.1204,0.8579,49.76,64.54,7523,3
R5,fender_left,19,2.320,0.765,0.940,0.1500,0.9702,0.1900,0.1675,0.431,0.1338,0.9215,47.25,72.57,7524,1
R5,fender_left,20,2.440,0.725,0.720,0.1500,0.9702,0.1900,0.1755,0.294,0.1396,1.0100,47.70,71.45,7525,1
R5,fender_left,21,2.440,0.735,0.780,0.1500,0.9702,0.1900,0.1524,0.447,0.1178,0.9177,43.47,73.13,7526,1
R5,fender_left,22,2.440,0.745,0.840,0.1500,0.9702,0.1900,0.1699,0.321,0.1306,0.9691,41.02,63.28,7527,3
R5,fender_left,23,2.440,0.755,0.900,0.1500,0.9702,0.1900,0.1408,0.282,0.1150,0.8343,45.97,64.09,7528,3
R5,fender_left,24,2.440,0.765,0.960,0.1500,0.9702,0.1900,0.1456,0.387,0.1146,0.8521,48.94,69.13,7529,3
R6,fender_right,0,1.960,-0.725,0.640,0.1500,-0.9702,0.1900,0.1660,0.470,0.1228,1.0557,44.84,60.05,7606,2
R6,fender_right,1,1.960,-0.735,0.700,0.1500,-0.9702,0.1900,0.1314,0.314,0.0975,0.7645,47.16,67.90,7607,2
R6,fender_right,2,1.960,-0.745,0.760,0.1500,-0.9702,0.1900,0.1542,0.584,0.1125,1.0319,42.31,65.82,7608,2
R6,fender_right,3,1.960,-0.755,0.820,0.1500,-0.9702,0.1900,0.1439,0.582,0.1062,0.9994,47.08,68.60,7609,2
R6,fender_right,4,1.960,-0.765,0.880,0.1500,-0.9702,0.1900,0.1686,0.931,0.0967,1.2933,44.08,61.76,7610,3
R6,fender_right,5,2.080,-0.725,0.660,0.1500,-0.9702,0.1900,0.1765,0.491,0.1354,1.0655,42.59,71.08,7611,1
R6,fender_right,6,2.080,-0.735,0.720,0.1500,-0.9702,0.1900,0.1506,0.222,0.1178,0.9917,41.62,68.00,7612,1
R6,fender_right,7,2.080,-0.745,0.780,0.1500,-0.9702,0.1900,0.1335,0.391,0.1047,0.7856,49.27,73.05,7613,2
R6,fender_right,8,2.080,-0.755,0.840,0.1500,-0.9702,0.1900,0.1697,0.458,0.1297,1.0238,44.07,67.65,7614,2
R6,fender_right,9,2.080,-0.765,0.900,0.1500,-0.9702,0.1900,0.1495,0.458,0.1107,0.9521,42.39,68.35,7615,3
R6,fender_right,10,2.200,-0.725,0.680,0.1500,-0.9702,0.1900,0.1459,0.324,0.1116,0.8690,48.06,71.81,7616,1
R6,fender_right,11,2.200,-0.735,0.740,0.1500,-0.9702,0.1900,0.1389,0.075,0.1115,0.7547,44.54,70.24,7617,1
R6,fender_right,12,2.200,-0.745,0.800,0.1500,-0.9702,0.1900,0.1574,0.380,0.1298,0.9526,48.12,57.80,7618,3
R6,fender_right,13,2.200,-0.755,0.860,0.1500,-0.9702,0.1900,0.1718,0.484,0.1310,1.0577,47.14,61.92,7619,3
R6,fender_right,14,2.200,-0.765,0.920,0.1500,-0.9702,0.1900,0.1579,0.324,0.1230,0.9969,42.73,64.58,7620,2
R6,fender_right,15,2.320,-0.725,0.700,0.1500,-0.9702,0.1900,0.1594,0.368,0.1244,0.8883,49.70,67.83,7621,2
R6,fender_right,16,2.320,-0.735,0.760,0.1500,-0.9702,0.1900,0.1424,0.153,0.1150,0.8548,43.41,72.02,7622,1
R6,fender_right,17,2.320,-0.745,0.820,0.1500,-0.9702,0.1900,0.1588,0.466,0.1031,1.0358,40.63,56.66,7623,3
R6,fender_right,18,2.320,-0.755,0.880,0.1500,-0.9702,0.1900,0.1592,0.467,0.1213,0.9406,47.90,69.14,7624,2
R6,fender_right,19,2.320,-0.765,0.940,0.1500,-0.9702,0.1900,0.1453,0.153,0.1130,0.8149,45.03,56.40,7625,3
R6,fender_right,20,2.440,-0.725,0.720,0.1500,-0.9702,0.1900,0.1699,0.287,0.1364,0.9800,49.18,64.04,7626,3
R6,fender_right,21,2.440,-0.735,0.780,0.1500,-0.9702,0.1900,0.1541,0.496,0.1174,0.9382,46.82,64.45,7627,3
R6,fender_right,22,2.440,-0.745,0.840,0.1500,-0.9702,0.1900,0.1552,0.175,0.1224,0.9563,42.52,67.65,7628,1
R6,fender_right,23,2.440,-0.755,0.900,0.1500,-0.9702,0.1900,0.1427,0.307,0.1065,0.8705,50.00,71.25,7629,3
R6,fender_right,24,2.440,-0.765,0.960,0.1500,-0.9702,0.1900,0.1331,0.087,0.1024,0.7362,40.09,64.72,7630,2
