region_id,region_name,cell_id,position_x_m,position_y_m,position_z_m,normal_x,normal_y,normal_z,init_roughness_um,init_scratch_um,init_ra_um,init_rz_um,init_clearcoat_um,init_gu_proxy,surface_seed
R2,roof,4,-0.080,0.440,1.450,0.0000,0.0000,1.0000,0.3078,1.736,0.0724,2.0214,49.18,56.95,7206
R2,roof,5,0.160,-0.440,1.450,0.0000,0.0000,1.0000,0.3139,1.813,0.0845,2.0140,47.88,52.16,7207
R2,roof,6,0.160,-0.220,1.450,0.0000,0.0000,1.0000,0.2060,1.389,0.0776,1.5533,45.46,57.61,7208
R2,roof,7,0.160,0.000,1.450,0.0000,0.0000,1.0000,0.1613,0.750,0.0871,1.1012,45.99,60.72,7209
R2,roof,8,0.160,0.220,1.450,0.0000,0.0000,1.0000,0.1431,0.602,0.0646,0.8532,46.16,59.20,7210
R2,roof,9,0.160,0.440,1.450,0.0000,0.0000,1.0000,0.2754,1.549,0.0754,1.8329,40.68,59.31,7211
R2,roof,10,0.400,-0.440,1.450,0.0000,0.0000,1.0000,0.3022,1.686,0.0674,1.9366,46.28,48.71,7212
R2,roof,11,0.400,-0.220,1.450,0.0000,0.0000,1.0000,0.2983,1.384,0.0914,1.7791,43.38,53.18,7213
R2,roof,12,0.400,0.000,1.450,0.0000,0.0000,1.0000,0.1548,0.593,0.0824,1.0038,42.80,53.87,7214
R2,roof,13,0.400,0.220,1.450,0.0000,0.0000,1.0000,0.1465,0.526,0.0858,0.9059,45.55,46.79,7215
R2,roof,14,0.400,0.440,1.450,0.0000,0.0000,1.0000,0.1354,1.174,0.0525,1.2323,46.60,59.64,7216
R2,roof,15,0.640,-0.440,1.450,0.0000,0.0000,1.0000,0.2025,0.933,0.0797,1.2114,43.19,52.56,7217
R2,roof,16,0.640,-0.220,1.450,0.0000,0.0000,1.0000,0.1479,0.577,0.0892,0.9378,46.63,54.14,7218
R2,roof,17,0.640,0.000,1.450,0.0000,0.0000,1.0000,0.2426,1.110,0.0934,1.4619,45.58,55.90,7219
R2,roof,18,0.640,0.220,1.450,0.0000,0.0000,1.0000,0.2697,1.448,0.0925,1.7550,47.45,55.02,7220
R2,roof,19,0.640,0.440,1.450,0.0000,0.0000,1.0000,0.1283,0.724,0.0825,0.9783,46.50,60.99,7221
R2,roof,20,0.880,-0.440,1.450,0.0000,0.0000,1.0000,0.3438,1.663,0.0673,1.9939,43.44,50.98,7222
R2,roof,21,0.880,-0.220,1.450,0.0000,0.0000,1.0000,0.2596,1.307,0.0898,1.7473,44.09,49.44,7223
R2,roof,22,0.880,0.000,1.450,0.0000,0.0000,1.0000,0.1710,0.930,0.1053,1.2175,49.63,66.75,7224
R2,roof,23,0.880,0.220,1.450,0.0000,0.0000,1.0000,0.1031,0.570,0.0681,0.7585,43.68,67.50,7225
R2,roof,24,0.880,0.440,1.450,0.0000,0.0000,1.0000,0.1358,0.801,0.0630,1.0193,49.14,55.70,7226
R3,door_left,0,0.020,0.850,0.595,0.0000,1.0000,0.0000,0.2810,1.279,0.0686,1.5810,42.39,54.65,7303
R3,door_left,1,0.020,0.850,0.685,0.0000,1.0000,0.0000,0.1540,0.591,0.0866,0.9794,47.90,57.19,7304
R3,door_left,2,0.020,0.850,0.775,0.0000,1.0000,0.0000,0.1442,0.675,0.0668,0.9365,47.58,60.66,7305
R3,door_left,3,0.020,0.850,0.865,0.0000,1.0000,0.0000,0.2192,1.057,0.0698,1.3006,42.41,57.01,7306
R3,door_left,4,0.020,0.850,0.955,0.0000,1.0000,0.0000,0.1609,0.948,0.0746,1.1721,40.43,53.66,7307
R3,door_left,5,0.260,0.850,0.595,0.0000,1.0000,0.0000,0.1318,0.446,0.0889,0.8323,41.20,55.42,7308
R3,door_left,6,0.260,0.850,0.685,0.0000,1.0000,0.0000,0.1785,0.712,0.0913,1.0765,43.35,59.57,7309
R3,door_left,7,0.260,0.850,0.775,0.0000,1.0000,0.0000,0.3123,1.837,0.0690,2.1212,49.36,59.53,7310
R3,door_left,8,0.260,0.850,0.865,0.0000,1.0000,0.0000,0.3123,1.680,0.0694,1.9777,41.68,58.20,7311
R3,door_left,9,0.260,0.850,0.955,0.0000,1.0000,0.0000,0.1858,0.845,0.0869,1.2188,47.18,52.90,7312
R3,door_left,10,0.500,0.850,0.595,0.0000,1.0000,0.0000,0.2894,1.676,0.0697,1.9877,49.80,61.98,7313
R3,door_left,11,0.500,0.850,0.685,0.0000,1.0000,0.0000,0.2426,1.342,0.0749,1.5854,47.39,56.07,7314
R3,door_left,12,0.500,0.850,0.775,0.0000,1.0000,0.0000,0.2613,1.394,0.0936,1.8346,43.22,57.72,7315
R3,door_left,13,0.500,0.850,0.865,0.0000,1.0000,0.0000,0.2256,1.224,0.0713,1.5540,44.62,55.89,7316
R3,door_left,14,0.500,0.850,0.955,0.0000,1.0000,0.0000,0.2578,1.363,0.0891,1.7968,44.99,56.71,7317
R3,door_left,15,0.740,0.850,0.595,0.0000,1.0000,0.0000,0.1689,0.667,0.0851,1.0436,42.89,47.96,7318
R3,door_left,16,0.740,0.850,0.685,0.0000,1.0000,0.0000,0.2769,1.562,0.0936,1.8409,46.52,53.87,7319
R3,door_left,17,0.740,0.850,0.775,0.0000,1.0000,0.0000,0.2391,1.517,0.0756,1.7168,47.72,61.97,7320
R3,door_left,18,0.740,0.850,0.865,0.0000,1.0000,0.0000,0.1179,0.518,0.0824,0.7863,42.12,60.89,7321
R3,door_left,19,0.740,0.850,0.955,0.0000,1.0000,0.0000,0.2955,1.719,0.0844,1.9619,42.06,58.00,7322
R3,door_left,20,0.980,0.850,0.595,0.0000,1.0000,0.0000,0.1676,0.794,0.0734,1.1741,44.16,55.87,7323
R3,door_left,21,0.980,0.850,0.685,0.0000,1.0000,0.0000,0.1553,0.806,0.0804,1.0972,49.19,60.61,7324
R3,door_left,22,0.980,0.850,0.775,0.0000,1.0000,0.0000,0.1516,0.666,0.0912,0.9900,44.28,61.20,7325
R3,door_left,23,0.980,0.850,0.865,0.0000,1.0000,0.0000,0.2742,1.356,0.0876,1.6443,45.32,52.50,7326
R3,door_left,24,0.980,0.850,0.955,0.0000,1.0000,0.0000,0.1534,0.866,0.0844,1.0701,45.75,49.78,7327
R4,door_right,0,0.020,-0.850,0.595,0.0000,-1.0000,0.0000,0.1246,0.423,0.0807,0.8340,42.03,59.92,7404
R4,door_right,1,0.020,-0.850,0.685,0.0000,-1.0000,0.0000,0.2658,1.254,0.0726,1.5298,44.88,52.82,7405
R4,door_right,2,0.020,-0.850,0.775,0.0000,-1.0000,0.0000,0.1073,0.843,0.0616,0.9041,46.79,63.13,7406
R4,door_right,3,0.020,-0.850,0.865,0.0000,-1.0000,0.0000,0.2293,1.053,0.0735,1.3340,47.77,58.19,7407
R4,door_right,4,0.020,-0.850,0.955,0.0000,-1.0000,0.0000,0.3348,1.890,0.0713,2.2332,44.85,52.42,7408
R4,door_right,5,0.260,-0.850,0.595,0.0000,-1.0000,0.0000,0.1272,0.437,0.0776,0.8109,44.95,51.20,7409
R4,door_right,6,0.260,-0.850,0.685,0.0000,-1.0000,0.0000,0.1584,0.577,0.0984,1.0239,42.35,58.35,7410
R4,door_right,7,0.260,-0.850,0.775,0.0000,-1.0000,0.0000,0.1204,0.643,0.0654,0.8950,41.10,58.05,7411
R4,door_right,8,0.260,-0.850,0.865,0.0000,-1.0000,0.0000,0.2709,1.333,0.0857,1.6763,47.40,51.14,7412
R4,door_right,9,0.260,-0.850,0.955,0.0000,-1.0000,0.0000,0.3107,1.801,0.0918,2.1726,49.76,60.08,7413
R4,door_right,10,0.500,-0.850,0.595,0.0000,-1.0000,0.0000,0.3880,1.880,0.0666,2.1590,45.06,48.36,7414
R4,door_right,11,0.500,-0.850,0.685,0.0000,-1.0000,0.0000,0.3310,1.578,0.0640,1.8426,46.44,50.66,7415
R4,door_right,12,0.500,-0.850,0.775,0.0000,-1.0000,0.0000,0.2370,1.172,0.0912,1.5919,40.16,50.68,7416
R4,door_right,13,0.500,-0.850,0.865,0.0000,-1.0000,0.0000,0.2301,1.214,0.0801,1.5891,40.46,51.12,7417
R4,door_right,14,0.500,-0.850,0.955,0.0000,-1.0000,0.0000,0.3904,1.899,0.0900,2.2711,47.37,48.85,7418
R4,door_right,15,0.740,-0.850,0.595,0.0000,-1.0000,0.0000,0.2736,1.287,0.0898,1.6115,40.10,55.72,7419
R4,door_right,16,0.740,-0.850,0.685,0.0000,-1.0000,0.0000,0.1537,0.896,0.0588,1.0807,44.11,67.97,7420
R4,door_right,17,0.740,-0.850,0.775,0.0000,-1.0000,0.0000,0.1525,0.656,0.0809,0.9927,41.16,61.23,7421
R4,door_right,18,0.740,-0.850,0.865,0.0000,-1.0000,0.0000,0.3257,1.732,0.0648,1.8729,48.80,54.77,7422
R4,door_right,19,0.740,-0.850,0.955,0.0000,-1.0000,0.0000,0.2665,1.875,0.0883,2.0229,45.22,52.20,7423
R4,door_right,20,0.980,-0.850,0.595,0.0000,-1.0000,0.0000,0.2042,1.026,0.0856,1.4128,43.53,59.16,7424
R4,door_right,21,0.980,-0.850,0.685,0.0000,-1.0000,0.0000,0.2361,1.046,0.0771,1.3501,47.46,54.14,7425
R4,door_right,22,0.980,-0.850,0.775,0.0000,-1.0000,0.0000,0.1503,0.568,0.0937,1.0731,41.27,51.02,7426
R4,door_right,23,0.980,-0.850,0.865,0.0000,-1.0000,0.0000,0.3250,1.462,0.0831,1.8770,47.42,50.50,7427
R4,door_right,24,0.980,-0.850,0.955,0.0000,-1.0000,0.0000,0.1345,0.414,0.0917,0.8097,45.33,60.40,7428
R5,fender_left,0,1.960,0.725,0.640,0.1500,0.9702,0.1900,0.1827,0.880,0.0654,1.1343,45.66,52.27,7505
R5,fender_left,1,1.960,0.735,0.700,0.1500,0.9702,0.1900,0.1555,1.089,0.0834,1.0422,40.50,61.98,7506
R5,fender_left,2,1.960,0.745,0.760,0.1500,0.9702,0.1900,0.2132,1.663,0.0719,1.7080,45.12,66.49,7507
R5,fender_left,3,1.960,0.755,0.820,0.1500,0.9702,0.1900,0.3372,1.686,0.0832,1.9862,41.93,47.31,7508
R5,fender_left,4,1.960,0.765,0.880,0.1500,0.9702,0.1900,0.2709,1.189,0.0832,1.5554,40.98,56.88,7509
R5,fender_left,5,2.080,0.725,0.660,0.1500,0.9702,0.1900,0.3060,1.662,0.0675,1.9209,48.27,53.69,7510
R5,fender_left,6,2.080,0.735,0.720,0.1500,0.9702,0.1900,0.2608,1.460,0.0808,1.7814,45.18,56.97,7511
R5,fender_left,7,2.080,0.745,0.780,0.1500,0.9702,0.1900,0.1806,0.873,0.0587,1.0980,44.74,52.72,7512
R5,fender_left,8,2.080,0.755,0.840,0.1500,0.9702,0.1900,0.3239,1.625,0.0767,1.9752,43.10,48.48,7513
R5,fender_left,9,2.080,0.765,0.900,0.1500,0.9702,0.1900,0.2121,0.998,0.0790,1.3505,46.82,53.79,7514
R5,fender_left,10,2.200,0.725,0.680,0.1500,0.9702,0.1900,0.1648,1.003,0.0691,1.1608,48.27,64.47,7515
R5,fender_left,11,2.200,0.735,0.740,0.1500,0.9702,0.1900,0.3246,1.841,0.0728,2.1922,49.37,60.31,7516
R5,fender_left,12,2.200,0.745,0.800,0.1500,0.9702,0.1900,0.2372,1.763,0.0835,1.8453,41.47,61.95,7517
R5,fender_left,13,2.200,0.755,0.860,0.1500,0.9702,0.1900,0.3400,1.512,0.0772,1.8812,45.29,50.70,7518
R5,fender_left,14,2.200,0.765,0.920,0.1500,0.9702,0.1900,0.1428,0.702,0.0733,0.9781,41.61,57.15,7519
R5,fender_left,15,2.320,0.725,0.700,0.1500,0.9702,0.1900,0.1441,0.624,0.0855,0.9945,47.28,52.28,7520
R5,fender_left,16,2.320,0.735,0.760,0.1500,0.9702,0.1900,0.1864,1.018,0.0650,1.2749,40.24,63.42,7521
R5,fender_left,17,2.320,0.745,0.820,0.1500,0.9702,0.1900,0.1180,0.839,0.0731,0.8247,44.68,63.90,7522
R5,fender_left,18,2.320,0.755,0.880,0.1500,0.9702,0.1900,0.2544,1.174,0.0752,1.4551,46.58,56.56,7523
R5,fender_left,19,2.320,0.765,0.940,0.1500,0.9702,0.1900,0.3382,1.566,0.0852,1.8900,47.83,50.31,7524
R5,fender_left,20,2.440,0.725,0.720,0.1500,0.9702,0.1900,0.2005,0.971,0.0900,1.3144,48.73,55.28,7525
R5,fender_left,21,2.440,0.735,0.780,0.1500,0.9702,0.1900,0.1988,1.891,0.0922,1.6659,42.12,56.44,7526
R5,fender_left,22,2.440,0.745,0.840,0.1500,0.9702,0.1900,0.1399,0.540,0.1003,0.8559,48.35,58.86,7527
R5,fender_left,23,2.440,0.755,0.900,0.1500,0.9702,0.1900,0.2986,1.844,0.1023,2.3848,41.45,64.23,7528
R5,fender_left,24,2.440,0.765,0.960,0.1500,0.9702,0.1900,0.1816,0.939,0.0829,1.3081,42.36,55.61,7529
R6,fender_right,0,1.960,-0.725,0.640,0.1500,-0.9702,0.1900,0.1231,0.445,0.0730,0.7293,45.25,58.15,7606
R6,fender_right,1,1.960,-0.735,0.700,0.1500,-0.9702,0.1900,0.1472,0.473,0.0924,0.9554,44.34,50.82,7607
R6,fender_right,2,1.960,-0.745,0.760,0.1500,-0.9702,0.1900,0.1891,0.773,0.0860,1.1787,49.30,57.29,7608
R6,fender_right,3,1.960,-0.755,0.820,0.1500,-0.9702,0.1900,0.1201,0.631,0.0699,0.8844,47.57,63.02,7609
R6,fender_right,4,1.960,-0.765,0.880,0.1500,-0.9702,0.1900,0.2933,1.298,0.1021,1.7773,43.80,52.77,7610
R6,fender_right,5,2.080,-0.725,0.660,0.1500,-0.9702,0.1900,0.2981,1.423,0.0773,1.7401,42.84,50.12,7611
R6,fender_right,6,2.080,-0.735,0.720,0.1500,-0.9702,0.1900,0.2975,1.327,0.0907,1.8529,46.05,52.48,7612
R6,fender_right,7,2.080,-0.745,0.780,0.1500,-0.9702,0.1900,0.1565,0.781,0.0530,0.9839,43.95,53.38,7613
R6,fender_right,8,2.080,-0.755,0.840,0.1500,-0.9702,0.1900,0.1346,0.482,0.0834,0.8627,46.63,63.06,7614
R6,fender_right,9,2.080,-0.765,0.900,0.1500,-0.9702,0.1900,0.2389,1.480,0.0867,1.7485,40.75,58.99,7615
R6,fender_right,10,2.200,-0.725,0.680,0.1500,-0.9702,0.1900,0.1471,0.721,0.0540,0.9238,48.70,59.73,7616
R6,fender_right,11,2.200,-0.735,0.740,0.1500,-0.9702,0.1900,0.2603,1.434,0.0873,1.6773,43.94,55.83,7617
R6,fender_right,12,2.200,-0.745,0.800,0.1500,-0.9702,0.1900,0.3688,1.542,0.0743,1.8085,45.63,47.69,7618
R6,fender_right,13,2.200,-0.755,0.860,0.1500,-0.9702,0.1900,0.2588,1.256,0.0616,1.4561,40.06,50.58,7619
R6,fender_right,14,2.200,-0.765,0.920,0.1500,-0.9702,0.1900,0.2447,1.320,0.0876,1.6824,48.03,47.98,7620
R6,fender_right,15,2.320,-0.725,0.700,0.1500,-0.9702,0.1900,0.1588,0.748,0.0857,1.1431,43.31,59.00,7621
R6,fender_right,16,2.320,-0.735,0.760,0.1500,-0.9702,0.1900,0.3165,1.797,0.0685,2.0870,48.81,56.73,7622
R6,fender_right,17,2.320,-0.745,0.820,0.1500,-0.9702,0.1900,0.1521,0.512,0.1043,0.9519,40.84,60.26,7623
R6,fender_right,18,2.320,-0.755,0.880,0.1500,-0.9702,0.1900,0.1370,0.587,0.0743,0.8938,41.46,57.29,7624
R6,fender_right,19,2.320,-0.765,0.940,0.1500,-0.9702,0.1900,0.2075,0.852,0.0859,1.1958,44.12,54.45,7625
R6,fender_right,20,2.440,-0.725,0.720,0.1500,-0.9702,0.1900,0.1917,1.450,0.0890,1.4693,44.72,61.67,7626
R6,fender_right,21,2.440,-0.735,0.780,0.1500,-0.9702,0.1900,0.1859,1.144,0.0918,1.3216,42.90,53.69,7627
R6,fender_right,22,2.440,-0.745,0.840,0.1500,-0.9702,0.1900,0.3372,1.533,0.0671,1.7966,42.20,48.34,7628
R6,fender_right,23,2.440,-0.755,0.900,0.1500,-0.9702,0.1900,0.2637,1.302,0.0886,1.7133,49.63,55.87,7629
R6,fender_right,24,2.440,-0.765,0.960,0.1500,-0.9702,0.1900,0.1823,0.711,0.0888,1.1635,46.62,49.20,7630
